Contract Account,Meterid,CoCd,OPCO,ApprovedDate
10044197753,102968459,1160,NYSEG,1999-01-01
10050510881,102968461,1160,NYSEG,1999-01-01
10052907259,102968462,1160,NYSEG,1999-01-01
10013741185,102968463,1160,NYSEG,1999-01-01
10050760890,102968464,1160,NYSEG,1999-01-01
10090966465,102968465,1160,NYSEG,1999-01-01
10016652199,102968466,1160,NYSEG,1999-01-01
10016705047,102968467,1160,NYSEG,1999-01-01
10013494348,102968468,1160,NYSEG,1999-01-01
10090735548,102968469,1160,NYSEG,1999-01-01
10035620821,102968470,1160,NYSEG,1999-01-01
10037982724,102968471,1160,NYSEG,1999-01-01
10011562138,102968473,1160,NYSEG,1999-01-01
10011562047,102968474,1160,NYSEG,1999-01-01
10011562112,102968475,1160,NYSEG,1999-01-01
10054120216,102968476,1160,NYSEG,1999-01-01
10016091612,102968477,1160,NYSEG,1999-01-01
10042518042,102968478,1160,NYSEG,1999-01-01
10042490200,102968479,1160,NYSEG,1999-01-01
10051390804,102968480,1160,NYSEG,1999-01-01
10050696656,102968481,1160,NYSEG,1999-01-01
10041717736,102968482,1160,NYSEG,1999-01-01
10043972016,102968483,1160,NYSEG,1999-01-01
10046715792,102968484,1160,NYSEG,1999-01-01
10043042430,102968485,1160,NYSEG,1999-01-01
10043699478,102968486,1160,NYSEG,1999-01-01
10042964360,102968488,1160,NYSEG,1999-01-01
10043585057,102968489,1160,NYSEG,1999-01-01
10010254463,102968490,1160,NYSEG,1999-01-01
10010254471,102968491,1160,NYSEG,1999-01-01
10046482799,102968496,1160,NYSEG,1999-01-01
10018405497,102968497,1160,NYSEG,1999-01-01
10018405570,102968498,1160,NYSEG,1999-01-01
10014134216,102968499,1160,NYSEG,1999-01-01
10016036575,102968500,1160,NYSEG,1999-01-01
10037384137,102968501,1160,NYSEG,1999-01-01
10090747766,102968502,1160,NYSEG,1999-01-01
10016036666,102968503,1160,NYSEG,1999-01-01
10016654625,102968504,1160,NYSEG,1999-01-01
10016654658,102968505,1160,NYSEG,1999-01-01
10050293348,102968506,1160,NYSEG,1999-01-01
10039983167,102968507,1160,NYSEG,1999-01-01
10010280682,102968512,1160,NYSEG,1999-01-01
10010280732,102968513,1160,NYSEG,1999-01-01
10010280716,102968514,1160,NYSEG,1999-01-01
10010280690,102968515,1160,NYSEG,1999-01-01
10011564084,102968516,1160,NYSEG,1999-01-01
10030520588,102968517,1160,NYSEG,1999-01-01
10046704531,102968518,1160,NYSEG,1999-01-01
10041372979,102968519,1160,NYSEG,1999-01-01
10040535204,102968520,1160,NYSEG,1999-01-01
10013836480,102968521,1160,NYSEG,1999-01-01
10016652918,102968522,1160,NYSEG,1999-01-01
10019487437,102968523,1160,NYSEG,1999-01-01
10046397609,102968524,1160,NYSEG,1999-01-01
10035096774,102968526,1160,NYSEG,1999-01-01
10053168034,102968527,1160,NYSEG,1999-01-01
10010252319,102968528,1160,NYSEG,1999-01-01
10052229985,102968529,1160,NYSEG,1999-01-01
10010252301,102968530,1160,NYSEG,1999-01-01
10051214160,102968531,1160,NYSEG,1999-01-01
10013557805,102968532,1160,NYSEG,1999-01-01
10040498155,102968533,1160,NYSEG,1999-01-01
10053221064,102968534,1160,NYSEG,1999-01-01
10013557797,102968535,1160,NYSEG,1999-01-01
10046377619,102968536,1160,NYSEG,1999-01-01
10034650191,102968537,1160,NYSEG,1999-01-01
10010250735,102968538,1160,NYSEG,1999-01-01
10048297476,102968539,1160,NYSEG,1999-01-01
10012551056,102968541,1160,NYSEG,1999-01-01
10012551031,102968542,1160,NYSEG,1999-01-01
10012551049,102968543,1160,NYSEG,1999-01-01
10038621792,102969450,1160,NYSEG,1999-01-01
10042220979,102969451,1160,NYSEG,1999-01-01
10020881859,102969452,1160,NYSEG,1999-01-01
10031978306,102969454,1160,NYSEG,1999-01-01
10048616980,102969455,1160,NYSEG,1999-01-01
10011615373,102969456,1160,NYSEG,1999-01-01
10044232790,102969457,1160,NYSEG,1999-01-01
10048194251,102969458,1160,NYSEG,1999-01-01
10028620218,102969459,1160,NYSEG,1999-01-01
10090332627,102969460,1160,NYSEG,1999-01-01
10050216752,102969461,1160,NYSEG,1999-01-01
10010807328,102969462,1160,NYSEG,1999-01-01
10025551697,102969463,1160,NYSEG,1999-01-01
10010807302,102969464,1160,NYSEG,1999-01-01
10041877225,102969465,1160,NYSEG,1999-01-01
10043746857,102969466,1160,NYSEG,1999-01-01
10018464759,102969467,1160,NYSEG,1999-01-01
10018464742,102969468,1160,NYSEG,1999-01-01
10028167624,102969469,1160,NYSEG,1999-01-01
10015296584,102969470,1160,NYSEG,1999-01-01
10049679193,102969471,1160,NYSEG,1999-01-01
10015296592,102969472,1160,NYSEG,1999-01-01
10015296576,102969473,1160,NYSEG,1999-01-01
10033328989,102969475,1160,NYSEG,1999-01-01
10010282431,102969476,1160,NYSEG,1999-01-01
10010282894,102969477,1160,NYSEG,1999-01-01
10010302148,102969478,1160,NYSEG,1999-01-01
10029192738,102969479,1160,NYSEG,1999-01-01
10010302155,102969480,1160,NYSEG,1999-01-01
10016956434,102969482,1160,NYSEG,1999-01-01
10050545598,102969483,1160,NYSEG,1999-01-01
10011563672,102969484,1160,NYSEG,1999-01-01
10050856649,102969485,1160,NYSEG,1999-01-01
10010756400,102969486,1160,NYSEG,1999-01-01
10010756699,102969487,1160,NYSEG,1999-01-01
10010756418,102969488,1160,NYSEG,1999-01-01
10053410550,102969489,1160,NYSEG,1999-01-01
10011615985,102969490,1160,NYSEG,1999-01-01
10040818113,102969491,1160,NYSEG,1999-01-01
10047497754,102969492,1160,NYSEG,1999-01-01
10042155654,102969493,1160,NYSEG,1999-01-01
10018407600,102969494,1160,NYSEG,1999-01-01
10052359717,102969495,1160,NYSEG,1999-01-01
10018407584,102969496,1160,NYSEG,1999-01-01
10018407626,102969497,1160,NYSEG,1999-01-01
10050918936,102969498,1160,NYSEG,1999-01-01
10053565890,102969499,1160,NYSEG,1999-01-01
10032619909,102969500,1160,NYSEG,1999-01-01
10054137723,102969501,1160,NYSEG,1999-01-01
10012483748,102969502,1160,NYSEG,1999-01-01
10090083758,102969503,1160,NYSEG,1999-01-01
10012483813,102969504,1160,NYSEG,1999-01-01
10016956400,102969506,1160,NYSEG,1999-01-01
10016956368,102969507,1160,NYSEG,1999-01-01
10090575415,102969509,1160,NYSEG,1999-01-01
10052610432,102969514,1160,NYSEG,1999-01-01
10050716264,102969515,1160,NYSEG,1999-01-01
10037755187,102969516,1160,NYSEG,1999-01-01
10053252234,102969517,1160,NYSEG,1999-01-01
10011563870,102969518,1160,NYSEG,1999-01-01
10034033737,102969519,1160,NYSEG,1999-01-01
10011563854,102969520,1160,NYSEG,1999-01-01
10011563862,102969521,1160,NYSEG,1999-01-01
10016599762,102969522,1160,NYSEG,1999-01-01
10051115532,102969523,1160,NYSEG,1999-01-01
10050804169,102969524,1160,NYSEG,1999-01-01
10053174420,102969525,1160,NYSEG,1999-01-01
10025094615,102969526,1160,NYSEG,1999-01-01
10010282266,102969528,1160,NYSEG,1999-01-01
10050758910,102969529,1160,NYSEG,1999-01-01
10051951332,102969530,1160,NYSEG,1999-01-01
10011562930,102969531,1160,NYSEG,1999-01-01
10045412177,102969532,1160,NYSEG,1999-01-01
10033512509,102969533,1160,NYSEG,1999-01-01
10053774443,102969534,1160,NYSEG,1999-01-01
10051834124,102969536,1160,NYSEG,1999-01-01
10053954359,102969537,1160,NYSEG,1999-01-01
10051336484,102969538,1160,NYSEG,1999-01-01
10010711678,102969539,1160,NYSEG,1999-01-01
10053948146,102969540,1160,NYSEG,1999-01-01
10051277381,102969541,1160,NYSEG,1999-01-01
10046711528,102969542,1160,NYSEG,1999-01-01
10012204466,102969543,1160,NYSEG,1999-01-01
10043217032,102969545,1160,NYSEG,1999-01-01
10028746054,102969546,1160,NYSEG,1999-01-01
10031034365,102969547,1160,NYSEG,1999-01-01
10090308239,102969548,1160,NYSEG,1999-01-01
10043676492,102969549,1160,NYSEG,1999-01-01
10010282787,102969554,1160,NYSEG,1999-01-01
10042947399,102969555,1160,NYSEG,1999-01-01
10036662681,102969556,1160,NYSEG,1999-01-01
10031036204,102969557,1160,NYSEG,1999-01-01
10046966593,102969558,1160,NYSEG,1999-01-01
10010807468,102969559,1160,NYSEG,1999-01-01
10010807419,102969561,1160,NYSEG,1999-01-01
10090142356,102969562,1160,NYSEG,1999-01-01
10037280335,102969563,1160,NYSEG,1999-01-01
10033792069,102969564,1160,NYSEG,1999-01-01
10052190856,102969565,1160,NYSEG,1999-01-01
10051701471,102969570,1160,NYSEG,1999-01-01
10012484167,102969571,1160,NYSEG,1999-01-01
10043897866,102969572,1160,NYSEG,1999-01-01
10050466704,102969574,1160,NYSEG,1999-01-01
10090043893,102969575,1160,NYSEG,1999-01-01
10051990322,102969576,1160,NYSEG,1999-01-01
10040974122,102969578,1160,NYSEG,1999-01-01
10010283397,102969580,1160,NYSEG,1999-01-01
10038425418,102969582,1160,NYSEG,1999-01-01
10039686414,102969583,1160,NYSEG,1999-01-01
10010283454,102969584,1160,NYSEG,1999-01-01
10010283447,102969585,1160,NYSEG,1999-01-01
10035530871,102969586,1160,NYSEG,1999-01-01
10010283215,102969587,1160,NYSEG,1999-01-01
10053956453,102969588,1160,NYSEG,1999-01-01
10051050663,102969589,1160,NYSEG,1999-01-01
10010807146,102969590,1160,NYSEG,1999-01-01
10041464412,102969591,1160,NYSEG,1999-01-01
10053669924,102969592,1160,NYSEG,1999-01-01
10052850046,102969593,1160,NYSEG,1999-01-01
10033943779,102969595,1160,NYSEG,1999-01-01
10047596902,102969596,1160,NYSEG,1999-01-01
10042624725,102969597,1160,NYSEG,1999-01-01
10047441653,102969598,1160,NYSEG,1999-01-01
10034106400,102969600,1160,NYSEG,1999-01-01
10049201089,102969601,1160,NYSEG,1999-01-01
10051794799,102969602,1160,NYSEG,1999-01-01
10030884745,102969603,1160,NYSEG,1999-01-01
10039097802,102969604,1160,NYSEG,1999-01-01
10010302544,102969605,1160,NYSEG,1999-01-01
10010300324,102969606,1160,NYSEG,1999-01-01
10032630872,102969608,1160,NYSEG,1999-01-01
10040948175,102969609,1160,NYSEG,1999-01-01
10053221650,102969610,1160,NYSEG,1999-01-01
10049889925,102969611,1160,NYSEG,1999-01-01
10050664316,102969613,1160,NYSEG,1999-01-01
10049358251,102969614,1160,NYSEG,1999-01-01
10051734936,102969615,1160,NYSEG,1999-01-01
10043685279,102969616,1160,NYSEG,1999-01-01
10012204474,102969617,1160,NYSEG,1999-01-01
10043930220,102969618,1160,NYSEG,1999-01-01
10052970026,102969619,1160,NYSEG,1999-01-01
10090943159,102969620,1160,NYSEG,1999-01-01
10033948240,102969621,1160,NYSEG,1999-01-01
10011616017,102969624,1160,NYSEG,1999-01-01
10036422631,102969625,1160,NYSEG,1999-01-01
10090049080,102969626,1160,NYSEG,1999-01-01
10053222484,102969627,1160,NYSEG,1999-01-01
10053804984,102969628,1160,NYSEG,1999-01-01
10010302239,102969629,1160,NYSEG,1999-01-01
10044628617,102969634,1160,NYSEG,1999-01-01
10053657754,102969638,1160,NYSEG,1999-01-01
10043970614,102969639,1160,NYSEG,1999-01-01
10049315756,102969641,1160,NYSEG,1999-01-01
10035541357,102969643,1160,NYSEG,1999-01-01
10010302619,102969644,1160,NYSEG,1999-01-01
10010302585,102969645,1160,NYSEG,1999-01-01
10036936820,102969646,1160,NYSEG,1999-01-01
10090143057,102969647,1160,NYSEG,1999-01-01
10053492558,102969648,1160,NYSEG,1999-01-01
10036877974,102969649,1160,NYSEG,1999-01-01
10090323816,102969650,1160,NYSEG,1999-01-01
10090477729,102969651,1160,NYSEG,1999-01-01
10053484738,102969653,1160,NYSEG,1999-01-01
10010302551,102969654,1160,NYSEG,1999-01-01
10010302593,102969655,1160,NYSEG,1999-01-01
10045484119,102969656,1160,NYSEG,1999-01-01
10010302577,102969657,1160,NYSEG,1999-01-01
10010302494,102969658,1160,NYSEG,1999-01-01
10040579392,102969660,1160,NYSEG,1999-01-01
10090595348,102969662,1160,NYSEG,1999-01-01
10016599564,102969663,1160,NYSEG,1999-01-01
10046377510,102969664,1160,NYSEG,1999-01-01
10016599572,102969665,1160,NYSEG,1999-01-01
10040968413,102969666,1160,NYSEG,1999-01-01
10043748358,102969667,1160,NYSEG,1999-01-01
10052726550,102969668,1160,NYSEG,1999-01-01
10049607087,102969669,1160,NYSEG,1999-01-01
10048194160,102969674,1160,NYSEG,1999-01-01
